date,price
2021-03-29,63.62
2021-03-30,63.05
2021-03-31,63.18
2021-04-01,64.64
2021-04-05,64.47
2021-04-06,64.24
2021-04-07,60.96
2021-04-08,62.01
2021-04-09,60.97
2021-04-12,59.85
2021-04-13,62.33
2021-04-14,62.8
2021-04-15,64.44
2021-04-16,63.4
2021-04-19,61.87
2021-04-20,60.8
2021-04-21,60.74
2021-04-22,61
2021-04-23,63.7
2021-04-26,63.06
2021-04-27,62.14
2021-04-28,63.4
2021-04-29,57.1
2021-04-30,55.66
2021-05-03,57.08
2021-05-04,56.19
2021-05-05,52.63
2021-05-06,49.8
2021-05-07,50.07
2021-05-10,49.16
2021-05-11,48.82
2021-05-12,46.89
2021-05-13,46.02
2021-05-14,49.65
2021-05-17,49.71
2021-05-18,51.51
2021-05-19,52.21
2021-05-20,51.96
2021-05-21,52.32
2021-05-24,53.31
2021-05-25,52.76
2021-05-26,54.92
2021-05-27,55.49
2021-05-28,57.09
2021-06-01,58.76
2021-06-02,58.46
2021-06-03,56.32
2021-06-04,57.4
2021-06-07,58.56
2021-06-08,56.74
2021-06-09,55.38
2021-06-10,55.66
2021-06-11,56.11
2021-06-14,58.41
2021-06-15,57.82
2021-06-16,56.97
2021-06-17,58.8
2021-06-18,58.48
2021-06-21,59.5
2021-06-22,59.06
2021-06-23,61.41
2021-06-24,61.78
2021-06-25,61.5
2021-06-28,58.73
2021-06-29,59.99
2021-06-30,60.48
2021-07-01,61.87
2021-07-02,62.79
2021-07-06,61.64
2021-07-07,58.75
2021-07-08,58.55
2021-07-09,60.06
2021-07-12,58.07
2021-07-13,57.07
2021-07-14,55.83
2021-07-15,54.73
2021-07-16,53.4
2021-07-19,51.72
2021-07-20,52.95
2021-07-21,55.77
2021-07-22,55.14
2021-07-23,54.9
2021-07-26,54.39
2021-07-27,53.32
2021-07-28,55.77
2021-07-29,56.74
2021-07-30,55.32
2021-08-02,56
2021-08-03,55.38
2021-08-04,49.53
2021-08-05,52.42
2021-08-06,52.44
2021-08-09,52.13
2021-08-10,53.85
2021-08-11,53.91
2021-08-12,53.82
2021-08-13,53.39
2021-08-16,50.83
2021-08-17,49.11
2021-08-18,49.58
2021-08-19,46.79
2021-08-20,45.89
2021-08-23,47.24
2021-08-24,47.67
2021-08-25,49.43
2021-08-26,48.6
2021-08-27,48.39
2021-08-30,47.13
2021-08-31,47.61
2021-09-01,48.37
2021-09-02,49.3
2021-09-03,48.21
2021-09-07,50.59
2021-09-08,49.81
2021-09-09,50.51
2021-09-10,50.01
2021-09-13,51.84
2021-09-14,50.53
2021-09-15,51.01
2021-09-16,52.39
2021-09-17,52.18
2021-09-20,51.12
2021-09-21,54.45
2021-09-22,54.69
2021-09-23,55.64
2021-09-24,55.86
2021-09-27,55.98
2021-09-28,54.18
2021-09-29,53.32
2021-09-30,53.59
2021-10-01,55.48
2021-10-04,53.68
2021-10-05,52.92
2021-10-06,54.16
2021-10-07,54.7
2021-10-08,54.89
2021-10-11,52.8
2021-10-12,52.55
2021-10-13,53.24
2021-10-14,50.51
2021-10-15,51.58
2021-10-18,50.47
2021-10-19,50.04
2021-10-20,49.41
2021-10-21,49.57
2021-10-22,48.32
2021-10-25,48.12
2021-10-26,47.54
2021-10-27,46.72
2021-10-28,46.92
2021-10-29,45.87
2021-11-01,46.4
2021-11-02,45.32
2021-11-03,49.03
2021-11-04,49.14
2021-11-05,53.55
2021-11-08,55.24
2021-11-09,56.26
2021-11-10,54.6
2021-11-11,53.18
2021-11-12,52.96
2021-11-15,51.66
2021-11-16,51.28
2021-11-17,49.71
2021-11-18,49.29
2021-11-19,47.51
2021-11-22,45.48
2021-11-23,45.67
2021-11-24,44.52
2021-11-26,42.4
2021-11-29,41.82
2021-11-30,40.61
2021-12-01,38.22
2021-12-02,41.15
2021-12-03,39.47
2021-12-06,41.95
2021-12-07,41.41
2021-12-08,42.21
2021-12-09,40.76
2021-12-10,39.51
2021-12-13,38.41
2021-12-14,38.98
2021-12-15,38.42
2021-12-16,37.46
2021-12-17,38.07
2021-12-20,38.62
2021-12-21,40.91
2021-12-22,42.46
2021-12-23,44.18
2021-12-27,44.03
2021-12-28,43.52
2021-12-29,43.24
2021-12-30,43.49
2021-12-31,42.73
2022-01-03,44.59
2022-01-04,44.95
2022-01-05,43.59
2022-01-06,43.6
2022-01-07,43.1
2022-01-10,44.13
2022-01-11,44.5
2022-01-12,42.38
2022-01-13,42.6
2022-01-14,41.26
2022-01-18,38.43
2022-01-19,36.91
2022-01-20,37.6
2022-01-21,36.8
2022-01-24,37.13
2022-01-25,36.22
2022-01-26,35.68
2022-01-27,34.93
2022-01-28,35.75
2022-01-31,38.52
2022-02-01,39.42
2022-02-02,38.44
2022-02-03,36.36
2022-02-04,37.68
2022-02-07,39.1
2022-02-08,41.2
2022-02-09,44
2022-02-10,42.1
2022-02-11,39.99
2022-02-14,39.99
2022-02-15,43.5
2022-02-16,43.82
2022-02-17,42.9
2022-02-18,41.26
2022-02-22,38.88
2022-02-23,37.43
2022-02-24,38.77
2022-02-25,38.61
2022-02-28,38.94
2022-03-01,37.68
2022-03-02,38.93
2022-03-03,36.98
2022-03-04,35.28
2022-03-07,34.48
2022-03-08,36.54
2022-03-09,37.8
2022-03-10,37.63
2022-03-11,37.25
2022-03-14,35.39
2022-03-15,35.74
2022-03-16,37.86
2022-03-17,37.79
2022-03-18,38.62
2022-03-21,36.85
2022-03-22,38.25
2022-03-23,38.43
2022-03-24,38.98
2022-03-25,37.51
